[2025-06-27T22:10:49.185998] INFO: Completed notify file check
[2025-06-27T22:10:54.186627] INFO: Starting notify file check
[2025-06-27T22:10:54.187121] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:10:54.187171] INFO: Completed notify file check
[2025-06-27T22:10:59.187830] INFO: Starting notify file check
[2025-06-27T22:10:59.188277] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:10:59.188327] INFO: Completed notify file check
[2025-06-27T22:11:04.188931] INFO: Starting notify file check
[2025-06-27T22:11:04.189385] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:04.189407] INFO: Completed notify file check
[2025-06-27T22:11:09.189776] INFO: Starting notify file check
[2025-06-27T22:11:09.190232] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:09.190255] INFO: Completed notify file check
[2025-06-27T22:11:14.190771] INFO: Starting notify file check
[2025-06-27T22:11:14.191213] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:14.191263] INFO: Completed notify file check
[2025-06-27T22:11:19.192085] INFO: Starting notify file check
[2025-06-27T22:11:19.192675] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:19.192704] INFO: Completed notify file check
[2025-06-27T22:11:24.193203] INFO: Starting notify file check
[2025-06-27T22:11:24.193787] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:24.193818] INFO: Completed notify file check
[2025-06-27T22:11:29.194328] INFO: Starting notify file check
[2025-06-27T22:11:29.194844] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:29.194868] INFO: Completed notify file check
[2025-06-27T22:11:34.195262] INFO: Starting notify file check
[2025-06-27T22:11:34.195751] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:34.195770] INFO: Completed notify file check
[2025-06-27T22:11:39.196581] INFO: Starting notify file check
[2025-06-27T22:11:39.197156] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:39.197182] INFO: Completed notify file check
[2025-06-27T22:11:44.197524] INFO: Starting notify file check
[2025-06-27T22:11:44.198020] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:44.198039] INFO: Completed notify file check
[2025-06-27T22:11:49.198658] INFO: Starting notify file check
[2025-06-27T22:11:49.199098] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:49.199120] INFO: Completed notify file check
[2025-06-27T22:11:54.199480] INFO: Starting notify file check
[2025-06-27T22:11:54.200123] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:54.200143] INFO: Completed notify file check
[2025-06-27T22:11:59.200417] INFO: Starting notify file check
[2025-06-27T22:11:59.200959] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:11:59.200981] INFO: Completed notify file check
[2025-06-27T22:12:04.201272] INFO: Starting notify file check
[2025-06-27T22:12:04.201748] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:04.201769] INFO: Completed notify file check
[2025-06-27T22:12:09.202369] INFO: Starting notify file check
[2025-06-27T22:12:09.202843] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:09.202867] INFO: Completed notify file check
